Accordion,Аккордеон
Cattle,Крупный рогатый скот
Ceiling fan,Потолочный вентилятор
Cello,Виолончель
Centipede,Сороконожка
Chainsaw,Бензопила
Chair,Стул
Cheese,Сыр
Cheetah,Гепард
Chest of drawers,Комод
Chicken,Цыпленок
Chime,Колокольчик
Chisel,Долото
Chopsticks,Палочки для еды
Christmas tree,Рождественская елка
Clock,Часы
Closet,Шкаф
Clothing,Одежда
Coat,Пальто
Cocktail,Коктейль
Cocktail shaker,Шейкер для коктейлей
Coconut,Кокосовая стружка
Coffee,Кофе
Coffee cup,Кофейная чашка
Coffee table,Журнальный столик
Coffeemaker,Кофеварка
Coin,Монета
Common fig,Инжир обыкновенный
Common sunflower,подсолнух обыкновенный
Computer keyboard,Клавиатура компьютера
Computer monitor,Монитор компьютера
Computer mouse,Компьютерная мышь
Container,Контейнер
Convenience store,Магазин товаров повседневного спроса
Cookie,Печенье
Cooking spray,Кулинарный спрей
Corded phone,Проводной телефон
Cosmetics,Косметика
Couch,Диван
Countertop,Столешница
Cowboy hat,Ковбойская шляпа
Crab,Краб
Cream,Крем
Cricket ball,Мяч для крикета
Crocodile,Крокодил
Croissant,Круассан
Crown,Корона
Crutch,Подставка
Cucumber,Огурец
Cupboard,Шкафчик
Curtain,Занавеска
Cutting board,Разделочная доска
Dagger,Кинжал
Dairy Product,Молочный продукт
Deer,Олень
Desk,Письменный стол
Dessert,Десерт
Diaper,Подгузник
Dice,Игральные кости
Digital clock,Цифровые часы
Dinosaur,Динозавр
Dishwasher,Посудомоечная машина
Dog,Собака
Dog bed,Кровать для собаки
Doll,Кукла
Dolphin,Дельфин
Door,Дверь
Door handle,Дверная ручка
Doughnut,Пончик
Dragonfly,Стрекоза
Drawer,Выдвижной ящик
Dress,Платье
Drill (Tool),Дрель (инструмент)
Drink,Напиток
Drinking straw,Соломинка для питья
Drum,Барабан
Duck,Утка
Dumbbell,Гантель
Eagle,Орел
Earrings,Серьги
Egg (Food),Яйцо (еда)
Elephant,Слон
Envelope,Конверт
Eraser,Ластик
Face powder,Пудра для лица
Facial tissue holder,Держатель для салфеток
Falcon,Сокол
Fashion accessory,Модный аксессуар
Fast food,Фаст-фуд
Fax,Факс
Fedora,Фетровая шляпа
Filing cabinet,Картотечный шкаф
Fire hydrant,Пожарный гидрант
Fireplace,Камин
Fish,Рыба
Flag,Флаг
Flashlight,Фонарик
Flower,Цветок
Flowerpot,Цветочный горшок
Flute,Флейта
Flying disc,Летающий диск
Food,Еда
Food processor,Кухонный комбайн
Football,Футбольный мяч
Football helmet,Футбольный шлем
Footwear,Обувь
Fork,Вилка
Fountain,Фонтан
Fox,Лиса
French fries,Картофель фри
French horn,Французский рожок
Frog,Лягушка
Fruit,Фрукты
Frying pan,Сковорода
Furniture,Мебель
Garden Asparagus,Спаржа в саду
Gas stove,Газовая плита
Giraffe,Жираф
Girl,Девушка
Glasses,Очки
Glove,Перчатка
Goat,Коза
Goggles,Защитные очки
Goldfish,Золотая рыбка
Golf ball,Мяч для гольфа
Golf cart,Тележка для гольфа
Gondola,Гондола
Goose,Гусь
Grape,Виноград
Grapefruit,Грейпфрут
Grinder,Мясорубка
Guacamole,Гуакамоле
Guitar,Гитара
Hair dryer,Фен
Hair spray,Лак для волос
Hamburger,Гамбургер
Hammer,Молоток
Hamster,Хомячок
Hand dryer,Сушилка для рук
Handbag,Сумочка
Handgun,Пистолет
Harbor seal,Морской котик
Harmonica,Губная гармошка
Harp,Арфа
Harpsichord,Клавесин
Hat,Шляпа
Headphones,Наушники
Heater,Обогреватель
Hedgehog,Ежик
Helicopter,Вертолет
Helmet,Шлем
High heels,Туфли на высоком каблуке
Hiking equipment,Туристическое снаряжение
Hippopotamus,Бегемот
Home appliance,Бытовая техника
Honeycomb,Пчелиные соты
Horizontal bar,Турник
Horse,Лошадь
Hot dog,Хот-дог
House,Дом
Houseplant,Комнатное растение
Human arm,Человеческая рука
Human beard,Человеческая борода
Human body,Человеческое тело
Human ear,Человеческое ухо
Human eye,Человеческий глаз
Human face,Человеческое лицо
Human foot,Человеческая нога
Human hair,Человеческие волосы
Human hand,Человеческая рука
Human head,Человеческая голова
Human leg,Человеческая нога
Human mouth,Человеческий рот
Human nose,Человеческий нос
Humidifier,Увлажнитель воздуха
Ice cream,Мороженое
Indoor rower,Гребец в помещении
Infant bed,Детская кроватка
Insect,Насекомое
Invertebrate,Беспозвоночное
Ipod,Ipod
Isopod,Изопод
Jacket,Куртка
Jacuzzi,Джакузи
Jaguar (Animal),Ягуар (Животное)
Jeans,Джинсы
Jellyfish,Медуза
Jet ski,Гидроцикл
Jug,Кувшин
Juice,Сок
Kangaroo,Кенгуру
Kettle,Чайник
Kitchen & dining room table,Кухонный и обеденный столы
Kitchen appliance,Кухонные принадлежности
Kitchen knife,Кухонный нож
Kitchen utensil,Кухонная утварь
Kitchenware,Кухонные принадлежности
Kite,Воздушный змей
Knife,Нож
Koala,Коала
Ladder,Лестница
Ladle,Половник
Ladybug,Божья коровка
Lamp,Лампа
Land vehicle,Наземный транспорт
Lantern,Фонарь
Laptop,Ноутбук
Lavender (Plant),Лаванда (растение)
Lemon,Лимон
Leopard,Леопард
Light bulb,Электрическая лампочка
Light switch,Выключатель света
Lighthouse,Маяк
Lily,Лилия
Limousine,Лимузин
Lion,Лев
Lipstick,Губная помада
Lizard,Ящерица
Lobster,Лобстер
Loveseat,Диванчик на двоих
Luggage and bags,Багаж и сумки
Lynx,Рысь
Magpie,Сорока
Mammal,Млекопитающее
Man,Человек
Mango,Манго
Maple,Клен
Maracas,Маракасы
Marine invertebrates,Морские беспозвоночные
Marine mammal,Морские млекопитающие
Measuring cup,Мерный стакан
Mechanical fan,Механический вентилятор
Medical equipment,Медицинское оборудование
Microphone,Микрофон
Microwave oven,Микроволновая печь
Milk,Молоко
Miniskirt,Мини-юбка
Mirror,Зеркало
Missile,Ракета
Mixer,Миксер
Mixing bowl,Чаша для смешивания
Mobile phone,Мобильный телефон
Monkey,Обезьяна
Moths and butterflies,Мотыльки и бабочки
Motorcycle,Мотоцикл
Mouse,Мышь
Muffin,Маффин
Mug,Кружка
Mule,Мул
Mushroom,Гриб
Musical instrument,Музыкальный инструмент
Musical keyboard,Музыкальная клавиатура
Nail (Construction),Гвоздь (конструктор)
Necklace,Ожерелье
Nightstand,Прикроватная тумбочка
Oboe,Гобой
Office building,Офисное здание
Office supplies,Канцелярские принадлежности
Orange,Оранжевый
Organ (Musical Instrument),Орган (музыкальный инструмент)
Ostrich,Страус
Otter,Выдра
Oven,Духовка
Owl,Сова
Oyster,Устрица
Paddle,Лопатка
Palm tree,Пальма
Pancake,Блинчик
Panda,Панда
Paper cutter,Резак для бумаги
Paper towel,Бумажное полотенце
Parachute,Парашют
Parking meter,Парковочный счетчик
Parrot,Попугай
Pasta,Макароны
Pastry,Выпечка
Peach,Персик
Pear,Груша
Pen,Ручка
Pencil case,Пенал
Pencil sharpener,Точилка для карандашей
Penguin,Пингвин
Perfume,Духи
Person,Человек
Personal care,Средства личной гигиены
Personal flotation device,Персональное плавательное средство
Piano,Пианино
Picnic basket,Корзина для пикника
Picture frame,Рамка для картины
Pig,Свинья
Pillow,Подушка
Pineapple,Ананас
Pitcher (Container),Кувшин (контейнер)
Pizza,Пицца
Pizza cutter,Нож для резки пиццы
Plant,Растение
Plastic bag,Пластиковый пакет
Plate,Тарелка
Platter,Блюдо для сервировки стола
Plumbing fixture,Сантехническое оборудование
Polar bear,Белый медведь
Pomegranate,Гранат
Popcorn,Попкорн
Porch,Веранда
Porcupine,Дикобраз
Poster,Плакат
Potato,Картофель
Power plugs and sockets,Электрические вилки и розетки
Pressure cooker,Скороварка
Pretzel,Крендель
Printer,Принтер
Pumpkin,Тыква
Punching bag,Боксерская груша
Rabbit,Кролик
Raccoon,Енот
Racket,Ракетка
Radish,Редька
Ratchet (Device),Храповик (устройство)
Raven,Ворон
Rays and skates,Скаты и коньки
Red panda,Красная панда
Refrigerator,Холодильник
Remote control,Пульт дистанционного управления
Reptile,Рептилия
Rhinoceros,Носорог
Rifle,Винтовка
Ring binder,Связующее кольцо
Rocket,Ракета
Roller skates,Роликовые коньки
Rose,Роза
Rugby ball,Мяч для регби
Ruler,Линейка
Salad,Салат
Salt and pepper shakers,Солонка и перечница
Sandal,Сандалии
Sandwich,Сэндвич
Saucer,Блюдце
Saxophone,Саксофон
Scale,Весы
Scarf,Шарф
Scissors,Ножницы
Scoreboard,Табло
Scorpion,Скорпион
Screwdriver,Отвертка
Sculpture,Скульптура
Sea lion,Морской лев
Sea turtle,Морская черепаха
Seafood,Морепродукты
Seahorse,Морской конек
Seat belt,Ремень безопасности
Segway,Сегвей
Serving tray,Сервировочный поднос
Sewing machine,Швейная машинка
Shark,Акула
Sheep,Овца
Shelf,Полка
Shellfish,Моллюски
Shirt,Рубашка
Shorts,Шорты
Shotgun,Ружье
Shower,Душ
Shrimp,Креветки
Sink,Раковина
Skateboard,Скейтборд
Ski,Лыжи
Skirt,Юбка
Skull,Череп
Skunk,Скунс
Skyscraper,Небоскреб
Slow cooker,Мультиварка
Snack,Закуска
Snail,Улитка
Snake,Змея
Snowboard,Сноуборд
Snowman,Снеговик
Snowmobile,Снегоход
Snowplow,Снегоочиститель
Soap dispenser,Дозатор мыла
Sock,Носок
Sofa bed,Диван-кровать
Sombrero,Сомбреро
Sparrow,Воробей
Spatula,Лопатка
Spice rack,Подставка для специй
Spider,Паук
Spoon,Ложка
Sports equipment,Спортивный инвентарь
Sports uniform,Спортивная форма
Squash (Plant),Тыква (растение)
Squid,Кальмар
Squirrel,Белка
Stairs,Лестница
Stapler,Степлер
Starfish,Морская звезда
Stationary bicycle,Велотренажер
Stethoscope,Стетоскоп
Stool,Табурет
Stop sign,Знак остановки
Strawberry,Клубничка
Street light,Уличный фонарь
Stretcher,Носилки
Studio couch,Диван-студия
Submarine,Подводная лодка
Submarine sandwich,Сэндвич с подводной лодкой
Suit,Костюм
Suitcase,Чемодан
Sun hat,Шляпа от солнца
Sunglasses,Солнцезащитные очки
Surfboard,Доска для серфинга
Sushi,Суши
Swan,Лебедь
Swim cap,Шапочка для плавания
Swimming pool,Бассейн
Swimwear,Купальники
Sword,Меч
Syringe,Шприц
Table,Стол
Table tennis racket,Ракетка для настольного тенниса
Tablet computer,Планшетный компьютер
Tableware,Посуда
Taco,Тако
Tank,Аквариум
Tap,Кран
Tart,Пирожное
Taxi,Такси
Tea,Чай
Teapot,Чайник
Teddy bear,Плюшевый мишка
Telephone,Телефон
Television,Телевизор
Tennis ball,Теннисный мяч
Tennis racket,Теннисная ракетка
Tent,Палатка
Tiara,Тиара
Tick,Клещ
Tie,Галстук
Tiger,Тигр
Tin can,Консервная банка
Tire,Шина
Toaster,Тостер
Toilet,Туалет
Toilet paper,Туалетная бумага
Tomato,Помидор
Tool,Инструмент
Toothbrush,Зубная щетка
Torch,Фонарик
Tortoise,Черепаха
Towel,Полотенце
Tower,Башня
Toy,Игрушка
Traffic light,Светофор
Traffic sign,Дорожный знак
Train,Поезд
Training bench,Тренировочная скамья
Treadmill,Беговая дорожка
Tree,Дерево
Tree house,Домик на дереве
Tripod,Тренога
Trombone,Тромбон
Trousers,Брюки
Truck,Грузовик
Trumpet,Труба
Turkey,Индейка
Turtle,Черепаха
Umbrella,Зонтик
Unicycle,Одноколесный велосипед
Van,Фургон
Vase,Ваза
Vegetable,Овощ
Vehicle,Транспортное средство
Vehicle registration plate,Регистрационный знак транспортного средства
Violin,Скрипка
Volleyball (Ball),Волейбольный мяч
Waffle,Вафля
Waffle iron,Вафельница
Wall clock,Настенные часы
Wardrobe,Гардероб
Washing machine,Стиральная машина
Waste container,Контейнер для мусора
Watch,Часы
Watercraft,Плавсредство
Watermelon,Арбуз
Weapon,Оружие
Whale,Кит
Wheel,Колесо
Wheelchair,Инвалидная коляска
Whisk,Венчик
Whiteboard,Белая доска
Willow,Ива
Window,Окно
Window blind,Жалюзи на окнах
Wine,Вино
Wine glass,Бокал для вина
Wine rack,Подставка для вина
Winter melon,Зимняя дыня
Wok,Сковорода-вок
Woman,Женщина
Wood-burning stove,Дровяная печь
Woodpecker,Дятел
Worm,Червяк
Wrench,Гаечный ключ
Zebra,Зебра
Zucchini,Цуккини
